variable,estimate,lci,uci,type,group,est_ci,n
h_smoke,52.4,50.9,53.9,Grouped,current,"52.4 (50.9, 53.9)",6507
h_smoke,29.1,27.7,30.5,Grouped,former,"29.1 (27.7, 30.5)",6507
h_smoke,18.5,17.2,19.7,Grouped,never,"18.5 (17.2, 19.7)",6507
h_smoke,0.1,0,0.2,Grouped,NA,"0.1 (0, 0.2)",6507
w_smoke,4.2,3.7,4.7,Grouped,current,"4.2 (3.7, 4.7)",6511
w_smoke,3.1,2.6,3.5,Grouped,former,"3.1 (2.6, 3.5)",6511
w_smoke,92.8,92.1,93.4,Grouped,never,"92.8 (92.1, 93.4)",6511
w_smoke,0,-0,0.1,Grouped,NA,"0 (0, 0.1)",6511
h_education_h,84.4,83.2,85.6,Grouped,1,"84.4 (83.2, 85.6)",6509
h_education_h,12.8,11.6,14,Grouped,2,"12.8 (11.6, 14)",6509
h_education_h,2.7,2.2,3.1,Grouped,3,"2.7 (2.2, 3.1)",6509
h_education_h,0.1,-0,0.2,Grouped,NA,"0.1 (0, 0.2)",6509
w_education_h,92.4,91.6,93.3,Grouped,1,"92.4 (91.6, 93.3)",6509
w_education_h,6.4,5.7,7.1,Grouped,2,"6.4 (5.7, 7.1)",6509
w_education_h,1.1,0.5,1.7,Grouped,3,"1.1 (0.5, 1.7)",6509
w_education_h,0.1,0,0.2,Grouped,NA,"0.1 (0, 0.2)",6509
hh_incometertile,11.8,10.7,12.9,Grouped,High,"11.8 (10.7, 12.9)",2733
hh_incometertile,14.6,13.7,15.5,Grouped,Low,"14.6 (13.7, 15.5)",2733
hh_incometertile,14.7,13.7,15.6,Grouped,Medium,"14.7 (13.7, 15.6)",2733
hh_incometertile,58.9,57.5,60.4,Grouped,NA,"58.9 (57.5, 60.4)",2733
hh_wealthquintile,12.7,11.7,13.7,Grouped,High,"12.7 (11.7, 13.7)",4190
hh_wealthquintile,11.6,10.3,12.9,Grouped,Highest,"11.6 (10.3, 12.9)",4190
hh_wealthquintile,13.5,12.5,14.4,Grouped,Low,"13.5 (12.5, 14.4)",4190
hh_wealthquintile,13.4,12.4,14.4,Grouped,Lowest,"13.4 (12.4, 14.4)",4190
hh_wealthquintile,13.3,12.4,14.3,Grouped,Medium,"13.3 (12.4, 14.3)",4190
hh_wealthquintile,35.5,34.1,36.9,Grouped,NA,"35.5 (34.1, 36.9)",4190
